,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,greenbelt,nuisance,view,condition,grade,heat_source,sewer_system,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_built,yr_renovated,address,lat,long,postal_code,grade_code,condition_code,price_sqft
227,1726069179,2/1/2022,1360000.0,3,2.0,2410,51763,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PRIVATE,1410,1340,500,450,1981,0,"15832 210th Avenue Northeast, Woodinville, Washington 98077, United States",47.742855,-122.055705,98077,8,4,564.3153526970955
256,8682210520,4/19/2022,1700000.0,2,2.5,2165,6949,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,2165,0,580,60,2002,0,"11731 238th Place Northeast, Redmond, Washington 98053, United States",47.70307,-122.02298,98053,8,3,785.2193995381062
274,7327700090,3/2/2022,2225000.0,4,3.5,3030,456073,1.0,YES,NO,NO,NONE,Good,9 Better,Gas,PRIVATE,3030,0,600,600,1992,0,"21604 Southeast 358th Street, Auburn, Washington 98092, United States",47.28027,-122.05479,98092,9,4,734.3234323432343
282,7893204930,4/18/2022,620000.0,3,1.5,1350,6719,1.0,NO,NO,NO,NONE,Average,6 Low Average,Gas,PUBLIC,1350,0,0,0,1979,0,"20234 4th Place South, Des Moines, Washington 98198, United States",47.41996500000001,-122.329355,98198,6,3,459.25925925925924
299,5466750340,7/8/2021,510000.0,3,2.0,1410,10358,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1410,0,440,70,1984,0,"27129 139th Place Southeast, Kent, Washington 98042, United States",47.358235,-122.15596,98042,7,3,361.70212765957444
305,9543000785,5/23/2022,545000.0,3,2.5,1950,9036,1.0,NO,NO,NO,NONE,Very Good,7 Average,Electricity,PUBLIC,1200,750,0,160,1991,0,"417 4th Avenue South, Algona, Washington 98001, United States",47.27468,-122.247985,98001,7,5,279.4871794871795
308,6673070070,12/28/2021,645000.0,3,2.0,1520,8250,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1190,590,420,200,1981,0,"2209 Southeast 21st Street, Renton, Washington 98055, United States",47.46087,-122.18869,98055,8,3,424.3421052631579
310,1249400160,10/22/2021,652000.0,3,2.5,2170,18700,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PRIVATE,2170,0,520,0,1983,0,"29719 174th Avenue Southeast, Kent, Washington 98042, United States",47.3355,-122.10987,98042,8,3,300.46082949308754
314,7695500190,9/25/2021,789000.0,3,2.5,2240,16820,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PRIVATE,1490,900,570,420,1985,0,"14308 165th Place Southeast, Renton, Washington 98059, United States",47.47505,-122.11905,98059,7,4,352.23214285714283
315,1422250150,7/28/2021,819422.0,3,2.0,1670,5500,1.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,1670,0,390,110,2021,0,"3118 Southeast 13th Way, North Bend, Washington 98045, United States",47.480265,-121.734045,98045,9,3,490.67185628742516
320,8682262380,6/11/2021,748000.0,2,2.0,1340,4447,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1340,0,470,120,2004,0,"13233 Sun Break Way Northeast, Redmond, Washington 98053, United States",47.717455,-122.03258,98053,8,3,558.2089552238806
322,7697910180,3/16/2022,670000.0,3,2.5,1640,6871,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1130,1040,680,80,1990,0,"26224 121st Avenue Southeast, Kent, Washington 98030, United States",47.36633,-122.17916,98030,7,4,408.5365853658537
327,899020010,11/15/2021,439950.0,3,1.5,1110,8754,1.0,NO,NO,YES,NONE,Average,6 Low Average,Electricity,PUBLIC,1110,0,360,0,1985,0,"1471 Semanski Street, Enumclaw, Washington 98022, United States",47.20482,-122.00529,98022,6,3,396.35135135135135
337,2020600040,10/29/2021,700000.0,3,2.5,1460,9513,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1060,920,400,460,1981,0,"825 8th Avenue South, Kirkland, Washington 98033, United States",47.66893,-122.19242,98033,7,5,479.45205479452056
351,3438501862,3/11/2022,765000.0,3,2.5,1450,5008,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,840,850,240,190,2007,0,"6546 18th Avenue Southwest, Seattle, Washington 98106, United States",47.54349000000001,-122.35679,98106,7,3,527.5862068965517
353,2560804945,11/5/2021,577000.0,3,2.0,1610,8500,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1610,0,420,160,1989,0,"25122 Marine View Drive South, Des Moines, Washington 98198, United States",47.37634,-122.321775,98198,7,3,358.3850931677019
376,7135521220,6/14/2021,1150000.0,3,2.0,2620,9248,1.0,NO,NO,NO,NONE,Good,9 Better,Gas,PUBLIC,2620,220,480,230,1989,0,"14500 Southeast 79th Drive, Newcastle, Washington 98059, United States",47.53069,-122.147678,98059,9,4,438.9312977099237
383,3575304140,8/27/2021,750000.0,5,2.0,1820,10000,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1820,0,480,0,1986,0,"907 210th Avenue Northeast, Sammamish, Washington 98074, United States",47.617975,-122.060565,98074,7,3,412.0879120879121
393,4046700210,11/8/2021,750000.0,3,2.0,1610,15005,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PRIVATE,1610,0,230,680,1986,0,"31907 Northeast 102nd Place, Carnation, Washington 98014, United States",47.68864,-121.91137,98014,7,4,465.83850931677017
406,9552700520,3/25/2022,2200000.0,5,3.0,3160,8905,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1970,1640,600,960,1981,0,"6133 144th Place Southeast, Bellevue, Washington 98006, United States",47.547685,-122.149055,98006,8,3,696.2025316455696
408,766810340,9/12/2021,515000.0,3,2.0,1360,8424,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1360,0,460,200,1990,0,"3014 Edith Avenue, Enumclaw, Washington 98022, United States",47.201955,-122.00951,98022,7,3,378.6764705882353
415,8091600330,7/19/2021,440000.0,3,1.0,1120,8580,1.0,NO,NO,NO,NONE,Good,6 Low Average,Electricity,PUBLIC,1120,0,310,0,1986,0,"2985 Sun Mountain Dr, Enumclaw, Washington 98022, United States",47.20368,-122.00553,98022,6,4,392.85714285714283
433,4156300250,5/16/2022,575000.0,3,1.0,910,9601,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,910,0,640,0,1980,0,"21250 Southeast 271st Street, Maple Valley, Washington 98038, United States",47.35951,-122.056885,98038,7,3,631.8681318681319
458,2597690410,9/24/2021,700000.0,3,2.0,2070,9100,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1340,1160,540,110,1985,0,"19325 133rd Avenue Southeast, Renton, Washington 98058, United States",47.42918,-122.164925,98058,8,3,338.1642512077295
463,3582700035,6/29/2021,835000.0,3,2.0,1080,7770,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1080,0,440,0,1984,0,"15919 70th Avenue Northeast, Kenmore, Washington 98028, United States",47.74391,-122.24808,98028,7,4,773.1481481481482
479,3425100046,9/21/2021,805000.0,3,3.0,2220,7400,1.0,NO,NO,NO,AVERAGE,Average,8 Good,Gas,PUBLIC,1620,1580,440,260,1978,0,"19723 53rd Avenue Northeast, Lake Forest Park, Washington 98155, United States",47.77195,-122.27364,98155,8,3,362.6126126126126
484,7137900170,3/28/2022,480000.0,3,1.0,1240,7529,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1240,0,0,0,1983,0,"31740 124th Place Southeast, Auburn, Washington 98092, United States",47.31715,-122.175455,98092,7,3,387.0967741935484
491,1389300010,5/20/2022,775000.0,3,2.0,1250,18070,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1250,0,480,110,1997,0,"4511 325th Avenue Northeast, Carnation, Washington 98014, United States",47.64814000000001,-121.90654,98014,7,3,620.0
492,8078550280,5/18/2022,602000.0,3,2.0,1260,9676,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1260,0,440,0,1987,0,"22205 123rd Place Southeast, Kent, Washington 98031, United States",47.40417,-122.1757,98031,7,3,477.77777777777777
506,2817210010,5/5/2022,1500000.0,4,4.0,2892,10240,1.0,YES,NO,NO,EXCELLENT,Good,8 Good,Electricity,PRIVATE,1296,1596,360,270,1993,0,"25860 Gold Beach Drive Southwest, Vashon, Washington 98070, United States",47.370875,-122.4234,98070,8,4,518.6721991701245
519,3308030020,5/31/2022,760000.0,4,3.0,1940,11200,1.0,NO,NO,YES,NONE,Very Good,8 Good,Gas,PUBLIC,1340,1280,610,300,1978,0,"26417 Woodland Way South, Kent, Washington 98030, United States",47.36479,-122.209875,98030,8,5,391.7525773195876
528,5466400030,11/18/2021,409000.0,2,1.0,770,6407,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,770,0,440,120,1982,0,"27301 137th Avenue Southeast, Kent, Washington 98042, United States",47.35722,-122.15931,98042,7,4,531.1688311688312
530,2214800850,6/2/2022,630000.0,4,3.0,1780,10766,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1060,960,400,120,1979,0,"29425 60th Place South, Auburn, Washington 98001, United States",47.33792,-122.25879,98001,7,3,353.9325842696629
539,2125400140,2/25/2022,1160000.0,3,2.0,1130,8533,1.0,NO,YES,NO,NONE,Average,7 Average,Electricity,PUBLIC,1130,0,670,0,1985,0,"9604 Northeast 140th Court, Kirkland, Washington 98034, United States",47.727145,-122.212995,98034,7,3,1026.5486725663716
549,6817800740,9/8/2021,850000.0,3,2.0,1000,10701,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1000,0,510,220,1983,0,"23009 Northeast 29th Street, Sammamish, Washington 98074, United States",47.6353,-122.03357,98074,7,4,850.0
554,7558300130,10/21/2021,1160000.0,3,2.0,1820,15505,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1440,720,520,980,1981,0,"9719 Northeast 138th Place, Kirkland, Washington 98034, United States",47.72423,-122.21132,98034,7,3,637.3626373626373
559,1682500310,12/10/2021,560000.0,5,3.0,2170,7200,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1200,1120,350,240,1982,0,"11816 Southeast 322nd Place, Auburn, Washington 98092, United States",47.31342,-122.18337,98092,8,4,258.06451612903226
564,8682262160,5/9/2022,850000.0,2,2.0,1350,4220,1.0,NO,YES,NO,NONE,Average,8 Good,Gas,PUBLIC,1350,0,510,40,2004,0,"13283 228th Place Northeast, Redmond, Washington 98053, United States",47.7182,-122.034135,98053,8,3,629.6296296296297
566,4137040230,12/2/2021,595000.0,4,3.0,2590,7937,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1440,1440,490,90,1989,0,"1154 57th Drive Southeast, Auburn, Washington 98092, United States",47.25861,-122.21514,98092,8,4,229.72972972972974
590,5631501096,10/19/2021,1050000.0,3,2.5,1810,14225,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1210,1130,530,560,1980,0,"15918 81st Place Northeast, Kenmore, Washington 98028, United States",47.74424000000001,-122.23235,98028,7,4,580.110497237569
604,3395350110,11/23/2021,820000.0,2,2.5,1380,38040,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,980,880,420,370,1981,0,"16711 Northeast 139th Place, Woodinville, Washington 98072, United States",47.72439,-122.11937,98072,8,3,594.2028985507246
620,7304301273,12/13/2021,510000.0,6,3.0,2700,5103,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1330,1370,0,50,1998,0,"16239 8th Avenue Northeast, Shoreline, Washington 98155, United States",47.74721,-122.321845,98155,7,3,188.88888888888889
627,3832310270,10/25/2021,625000.0,3,2.5,2150,7288,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1260,1130,480,300,1980,0,"25639 44th Avenue South, Kent, Washington 98032, United States",47.37163,-122.27923,98032,7,4,290.69767441860466
641,1524079173,4/25/2022,904000.0,2,2.5,1590,76376,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PRIVATE,1590,0,460,150,1989,0,"4416 325th Avenue Southeast, Fall City, Washington 98024, United States",47.56447,-121.90654,98024,7,3,568.5534591194969
662,5420300420,4/25/2022,675000.0,3,1.0,1420,11391,1.0,NO,NO,NO,NONE,Good,6 Low Average,Electricity,PUBLIC,1090,660,480,260,1984,0,"25111 117th Court Southeast, Kent, Washington 98030, United States",47.37652,-122.18579,98030,6,4,475.3521126760563
683,5466350080,4/25/2022,520000.0,3,2.0,1290,6060,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1290,0,460,30,1993,0,"13326 Southeast 236th Place, Kent, Washington 98042, United States",47.3904,-122.16286,98042,7,3,403.1007751937984
685,8682260960,5/6/2022,1350000.0,2,2.0,1860,4950,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1860,0,430,100,2005,0,"23053 Northeast 128th Place, Redmond, Washington 98053, United States",47.71347,-122.0315,98053,8,3,725.8064516129032
721,6647400150,5/20/2022,1362000.0,4,3.0,1730,7259,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1060,920,440,100,1983,0,"13434 110th Place Northeast, Kirkland, Washington 98034, United States",47.72102,-122.19361,98034,7,3,787.2832369942197
727,349400050,7/7/2021,430000.0,3,2.0,1230,7044,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1230,0,480,0,1980,0,"827 Natalie Place, Enumclaw, Washington 98022, United States",47.19774,-121.997625,98022,7,4,349.5934959349593
729,3528000170,7/14/2021,1665000.0,4,2.5,2280,35094,1.0,NO,NO,NO,NONE,Average,10 Very Good,Gas,PRIVATE,2280,0,740,60,1987,0,"21407 Northeast 68th Court, Redmond, Washington 98053, United States",47.66668,-122.05416,98053,10,3,730.2631578947369
735,3874010800,3/21/2022,525000.0,4,2.0,2560,11646,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1280,1280,440,0,1988,0,"28511 40th Avenue South, Auburn, Washington 98001, United States",47.346065,-122.2833,98001,7,3,205.078125
737,721069105,3/12/2022,860000.0,3,2.0,2020,131204,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PRIVATE,2020,0,0,300,1985,0,"18634 Southeast 307th Place, Kent, Washington 98042, United States",47.326,-122.09269,98042,7,4,425.74257425742576
740,1545807970,8/6/2021,425000.0,3,2.0,1190,9625,1.0,NO,NO,YES,NONE,Average,7 Average,Gas,PUBLIC,1190,0,400,120,1990,0,"21317 Southeast 271st Place, Maple Valley, Washington 98038, United States",47.3583,-122.05581,98038,7,3,357.14285714285717
758,6673060110,9/12/2021,624950.0,3,2.5,1610,8625,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1160,590,440,80,1979,0,"2110 Southeast 22nd Place, Renton, Washington 98055, United States",47.4605,-122.191035,98055,8,4,388.167701863354
763,9264910590,10/13/2021,540000.0,4,3.0,2050,7639,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1340,1300,590,670,1980,0,"32914 5th Avenue Southwest, Federal Way, Washington 98023, United States",47.30664,-122.34084,98023,8,4,263.4146341463415
771,8682230380,7/9/2021,680000.0,2,2.0,1340,3900,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1340,0,470,40,2003,0,"12360 232nd Way Northeast, Redmond, Washington 98053, United States",47.70925,-122.02981,98053,8,3,507.46268656716416
786,2310030470,11/23/2021,639500.0,4,2.5,1860,6137,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1440,800,730,300,1993,0,"27626 220th Court Southeast, Maple Valley, Washington 98038, United States",47.353365,-122.0469,98038,8,4,343.81720430107526
793,8902000372,2/16/2022,909500.0,4,3.0,1760,7270,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1180,900,480,400,1987,0,"11337 25th Avenue Northeast, Seattle, Washington 98125, United States",47.71127,-122.30248,98125,7,4,516.7613636363636
796,8947800080,2/16/2022,122449.0,3,1.0,970,12300,1.0,NO,NO,YES,NONE,Average,7 Average,Electricity,PUBLIC,970,0,460,70,1982,0,"8450 Northeast 145th Street, Kenmore, Washington 98028, United States",47.73348,-122.22682,98028,7,3,126.2360824742268
816,3342103192,9/7/2021,910000.0,5,3.0,2450,10847,1.0,NO,NO,YES,NONE,Good,8 Good,Electricity,PUBLIC,1540,1310,580,400,1981,0,"1401 North 34th Street, Renton, Washington 98056, United States",47.521815,-122.19988,98056,8,4,371.42857142857144
822,2215901960,7/7/2021,739800.0,4,2.5,1900,9513,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1330,860,680,100,1993,0,"21309 Southeast 277th Place, Maple Valley, Washington 98038, United States",47.35287,-122.05771,98038,8,4,389.36842105263156
825,2225300209,10/26/2021,910000.0,4,3.0,1920,5962,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1200,1120,480,450,1994,0,"2331 North 190th Street, Shoreline, Washington 98133, United States",47.76665,-122.33095,98133,7,3,473.9583333333333
840,8137500540,10/13/2021,914000.0,3,2.0,1700,44431,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1700,0,680,0,1988,0,"21107 Southeast 138th Place, Issaquah, Washington 98027, United States",47.47746,-122.06019,98027,8,3,537.6470588235294
852,8645540140,7/28/2021,465000.0,3,2.0,1820,8800,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1390,760,530,40,1980,0,"3620 Southeast 18th Court, Renton, Washington 98058, United States",47.463645,-122.171125,98058,7,3,255.4945054945055
869,9264910070,3/10/2022,676000.0,4,2.5,3180,7464,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1610,1570,400,610,1980,0,"32709 5th Avenue Southwest, Federal Way, Washington 98023, United States",47.30935,-122.34088,98023,8,4,212.57861635220127
870,3423059051,9/14/2021,678000.0,3,2.5,2280,6640,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PRIVATE,1360,920,0,210,1990,0,"19009 148th Avenue Southeast, Renton, Washington 98058, United States",47.431825,-122.14426,98058,7,3,297.36842105263156
877,104540630,10/13/2021,450000.0,3,2.0,1480,7328,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1480,0,420,240,1987,0,"32340 19th Court Southwest, Federal Way, Washington 98023, United States",47.31100000000001,-122.35885,98023,7,3,304.05405405405406
888,9348500080,6/11/2021,1040000.0,3,2.5,2410,9600,1.0,NO,NO,NO,NONE,Good,9 Better,Gas,PUBLIC,1810,780,540,190,1987,0,"16407 121st Avenue Northeast, Bothell, Washington 98011, United States",47.74703,-122.180196,98011,9,4,431.53526970954357
897,3668000500,7/29/2021,543000.0,3,2.5,1950,9720,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1200,1090,480,180,1987,0,"6115 36th Street Southeast, Auburn, Washington 98092, United States",47.276195,-122.148045,98092,7,4,278.46153846153845
902,3671000030,8/23/2021,515000.0,3,2.0,1430,7280,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,980,910,460,390,1981,0,"20823 127th Place Southeast, Kent, Washington 98031, United States",47.41523,-122.17137,98031,7,4,360.13986013986016
906,3257500100,3/21/2022,550000.0,3,2.0,1440,10099,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1440,0,580,160,1983,0,"1456 Loraine Street, Enumclaw, Washington 98022, United States",47.204715,-122.00182,98022,7,4,381.94444444444446
915,104570590,11/2/2021,565555.0,3,2.0,1510,6300,1.0,NO,NO,NO,NONE,Good,8 Good,Gas,PUBLIC,1510,0,400,395,1993,0,"1626 Southwest 331st Place, Federal Way, Washington 98023, United States",47.30486,-122.35663999999998,98023,8,4,374.53973509933775
917,7525530080,6/30/2021,1906500.0,3,2.5,3810,14343,1.0,NO,NO,NO,NONE,Average,10 Very Good,Gas,PUBLIC,2260,1550,610,940,1990,0,"4644 227th Place Southeast, Sammamish, Washington 98075, United States",47.56136,-122.03663,98075,10,3,500.3937007874016
926,9282801120,8/24/2021,799000.0,5,3.0,2380,7500,1.0,NO,NO,NO,AVERAGE,Good,7 Average,Electricity,PUBLIC,1380,1290,240,310,1979,0,"11530 78th Avenue South, Seattle, Washington 98178, United States",47.499705,-122.23526,98178,7,4,335.7142857142857
933,2366400110,9/8/2021,1197000.0,6,3.0,2640,40036,1.0,NO,NO,YES,NONE,Good,7 Average,Gas,PRIVATE,1650,1620,630,1010,1981,0,"11207 167th Court Northeast, Redmond, Washington 98052, United States",47.70052,-122.1175,98052,7,4,453.40909090909093
952,5341700040,12/6/2021,300000.0,2,2.0,1420,25839,1.0,NO,NO,NO,NONE,Average,6 Low Average,Electricity,PRIVATE,1420,0,0,240,1993,0,"29735 128th Avenue Southwest, Vashon, Washington 98070, United States",47.33601,-122.50041,98070,6,3,211.26760563380282
963,1678600030,5/4/2022,1050000.0,4,2.5,2740,19843,1.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,1940,1860,580,220,1988,0,"574 Southwest Colewood Lane, Normandy Park, Washington 98166, United States",47.43716,-122.34355,98166,9,3,383.2116788321168
984,3321059070,8/3/2021,750000.0,4,2.0,2000,212130,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PRIVATE,2000,0,560,200,1980,0,"5501 Ward Avenue Southeast, Auburn, Washington 98092, United States",47.25868,-122.17256,98092,7,3,375.0
1000,2126079102,6/17/2021,900000.0,3,2.0,2040,207728,1.0,NO,NO,NO,NONE,Average,7 Average,Oil,PRIVATE,2040,0,480,270,1987,0,"14148 311th Avenue Northeast, Duvall, Washington 98019, United States",47.72459,-121.92164,98019,7,3,441.1764705882353
1005,8581900160,3/4/2022,825000.0,3,2.5,1890,8538,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1430,760,510,180,1984,0,"11901 Southeast 231st Place, Kent, Washington 98031, United States",47.39439,-122.18255,98031,7,5,436.5079365079365
